name,url,score,ratings,brewery,abv,ibu,brewer_notes
IPA,/beer/profile/396/3916/,4.23,"4,265",AleSmith Brewing Company,7.25,No IBU,No Notes
Hazelnut Brown Nectar,/beer/profile/132/1339/,4.07,"4,263",Rogue Ales,5.6,33,    13 Ingredients: Malts: Harrington Klages Munich Hugh Baird Brown Carastan 13-17 Crystal 70-80 Crystal 135-165 & Beeston Chocolate. Hops: Perle and Sterling. Specialty: Hazelnut Nectar. Yeast & Water: Rogue's Pacman Yeast & Free Range Coastal Water.  14 Plato 
Saison Dupont,/beer/profile/637/1717/,4.18,"4,261",Brasserie Dupont sprl,6.5,No IBU,No Notes
Sierra Nevada Summerfest,/beer/profile/140/3558/,3.67,"4,258",Sierra Nevada Brewing Co.,5,No IBU,No Notes
Titan IPA,/beer/profile/158/11922/,4.06,"4,238",Great Divide Brewing Company,7.1,No IBU,No Notes
Hunahpu's Imperial Stout,/beer/profile/17981/47022/,4.58,"4,232",Cigar City Brewing,11,80,    In Mayan myth Hunahpu gave cocoa to the Mayans. An Imperial Stout Aged On Cacao Nibs Madagascar Vanilla Beans Ancho Chilis Pasilla Chilis and Cinnamon.  
Chocolate Stout,/beer/profile/132/1118/,4.15,"4,226",Rogue Ales,5.8,69,    12 Ingredients: Great Western 2-Row Crystal 135- 165 Chocolate & Rogue Micro Barley Farm DareTM & RiskTM Malts; Rogue Micro Hopyard Revolution & Rebel Hops Rolled Oats Roasted Barley Natural Chocolate Flavoring Free Range Coastal Waters & Pacman Yeast.  15º PLATO 
Tripel Karmeliet,/beer/profile/202/656/,4.28,"4,209",Brouwerij Bosteels,8.4,No IBU,No Notes
Hercules Double IPA,/beer/profile/158/17060/,4.12,"4,206",Great Divide Brewing Company,10,85,    HERCULES DOUBLE IPA is not for the faint of heart. It is however fit for the gods. HERCULES delivers a huge amount of hops from start to finish. Its hefty backbone of nutty malty sweetness balances its aggressive hop profile. 
Smoked Porter,/beer/profile/147/90/,4,"4,200",Stone Brewing,5.9,No IBU,No Notes
Harpoon IPA,/beer/profile/98/311/,3.62,"4,194",Harpoon Brewery & Beer Hall,5.9,42,    We started brewing this beer as a summer seasonal in 1993. There were some great IPAs out in the Pacific Northwest but no local IPAs on the east coast. We wanted to have a local IPA so we brewed one. People absolutely loved it and so did we. So we made it a year-round beer and it’s now our bestselling beer and our flagship.  Since its introduction Harpoon IPA has remained unique in its ability to balance hop bitterness with a strong malt backbone. Dry-hopped with Cascade hops it has a floral hop aroma and a finish that is bitter (it is an IPA after all!) without being harsh or astringent. Combined with a malty sweetness and the fruity esters of our proprietary yeast those hops create a beer that is wonderfully hoppy but clean and refreshing enough to enjoy a few of - and we hope you do.  
Palate Wrecker,/beer/profile/2743/45175/,4.16,"4,158",Green Flash Brewing Co.,9.5,No IBU,No Notes
Nelson,/beer/profile/3120/32286/,4.44,"4,136",Alpine Beer Company,7,No IBU,No Notes
Shiner Bock,/beer/profile/143/1352/,3.18,"4,134",Spoetzl Brewery / Shiner,4.4,No IBU,No Notes
1554 Black Lager,/beer/profile/192/1914/,3.83,"4,126",New Belgium Brewing,5.6,No IBU,No Notes
Kellerweis,/beer/profile/140/48434/,4.05,"4,101",Sierra Nevada Brewing Co.,4.8,No IBU,No Notes
Rodenbach Grand Cru,/beer/profile/216/673/,4.29,"4,099",Brouwerij Rodenbach N.V.,6,No IBU,No Notes
Julius,/beer/profile/28743/86237/,4.66,"4,070",Tree House Brewing Company,6.8,No IBU,No Notes
Raging Bitch Belgian-Style IPA,/beer/profile/68/52855/,3.86,"4,051",Flying Dog Brewery,8.3,No IBU,No Notes
G'Knight Imperial Red IPA,/beer/profile/2681/8919/,4.12,"4,027",Oskar Blues Grill & Brew,8.7,60,"    Classified by the brewery as an ""Imperial Red/Double IPA"" 8.7% ABV "
Plead The 5th Imperial Stout,/beer/profile/1471/45073/,4.31,"4,024",Dark Horse Brewing Company,11,No IBU,No Notes
Gulden Draak,/beer/profile/48/155/,4.24,"4,023",Brouwerij Van Steenberge N.V.,10.5,No IBU,No Notes
The Mad Elf,/beer/profile/694/7531/,3.87,"4,016",Tröegs Brewing Company,11,No IBU,No Notes
Stone / Chris Banker / Insurgente  Xocoveza,/beer/profile/147/128500/,4.34,"4,011",Stone Brewing,8.1,No IBU,No Notes
Leffe Blonde,/beer/profile/470/2137/,3.56,"3,998",Abbaye de Leffe S.A.,6.6,No IBU,No Notes
Black Tuesday,/beer/profile/16866/51257/,4.54,"3,987",The Bruery,19.5,No IBU,No Notes
W-n-B Coffee Oatmeal Imperial Stout,/beer/profile/2372/21950/,4.29,"3,986",Terrapin Beer Company,9.4,No IBU,No Notes
La Folie,/beer/profile/192/1917/,4.25,"3,979",New Belgium Brewing,7,No IBU,No Notes
Obsidian Stout,/beer/profile/63/197/,4.2,"3,951",Deschutes Brewery,6.4,No IBU,No Notes
Honker's Ale,/beer/profile/1146/1157/,3.66,"3,940",Goose Island Beer Co.,4.3,No IBU,No Notes
Nut Brown Ale,/beer/profile/113/576/,4.09,"3,940",Samuel Smith Old Brewery (Tadcaster),5,No IBU,No Notes
Darkness,/beer/profile/13014/33127/,4.48,"3,939",Surly Brewing Company,10.3,No IBU,No Notes
Pilsner Urquell,/beer/profile/1/429/,3.59,"3,932",Plze?ský Prazdroj,4.4,No IBU,No Notes
Samuel Adams Cherry Wheat,/beer/profile/35/108/,3.16,"3,927",Boston Beer Company (Samuel Adams),5.3,No IBU,No Notes
Shock Top Belgian White,/beer/profile/29/39908/,2.95,"3,914",Anheuser-Busch,5.2,No IBU,No Notes
Bell's Special Double Cream Stout,/beer/profile/287/2403/,3.96,"3,894",Bell's Brewery - Eccentric Café & General Store,6.1,No IBU,No Notes
Raspberry Tart,/beer/profile/590/1585/,4.37,"3,874",New Glarus Brewing Company,4,No IBU,No Notes
Big Bad Baptist,/beer/profile/22893/73618/,4.37,"3,843",Epic Brewing Company,11.8,No IBU,No Notes
Mirror Pond Pale Ale,/beer/profile/63/195/,3.9,"3,842",Deschutes Brewery,5,No IBU,No Notes
Damnation,/beer/profile/863/12770/,4.12,"3,839",Russian River Brewing Company,7.75,No IBU,No Notes
Daisy Cutter Pale Ale,/beer/profile/18006/48582/,4.16,"3,826",Half Acre Beer Company,5.2,No IBU,No Notes
Miller High Life,/beer/profile/105/580/,2.69,"3,819",Miller Brewing Co.,4.6,No IBU,No Notes
Curieux (Bourbon Barrel-Aged Tripel),/beer/profile/4/16909/,4.28,"3,809",Allagash Brewing Company,11,No IBU,No Notes
Imperial Stout,/beer/profile/113/782/,4.16,"3,803",Samuel Smith Old Brewery (Tadcaster),7,No IBU,No Notes
Samuel Adams Latitude 48 IPA,/beer/profile/35/57252/,3.56,"3,795",Boston Beer Company (Samuel Adams),6,No IBU,No Notes
Cantillon Gueuze 100% Lambic,/beer/profile/388/1703/,4.45,"3,784",Brasserie Cantillon,5,No IBU,No Notes
Miles Davis' Bitches Brew,/beer/profile/64/59151/,4.18,"3,774",Dogfish Head Craft Brewery,9,38,    In honor of the 40th anniversary of the original release of Bitches Brew Miles Davis' 1970 paradigm-shifting landmark fusion breakthrough we've created our own Bitches Brew -- a bold dark beer that's a fusion of three threads of imperial stout and one thread of honey beer with gesho root. It's a gustatory analog to Miles' masterpiece.  
Espresso Oak Aged Yeti Imperial Stout,/beer/profile/158/42723/,4.27,"3,772",Great Divide Brewing Company,9.5,No IBU,No Notes
Temptation,/beer/profile/863/9474/,4.46,"3,736",Russian River Brewing Company,7.5,No IBU,No Notes
Anchor Porter,/beer/profile/28/61/,4.09,"3,727",Anchor Brewing Company,5.6,No IBU,No Notes
Sweetwater 420 Extra Pale Ale,/beer/profile/273/751/,3.64,"3,719",SweetWater Brewing Company,5.4,No IBU,No Notes
Brooklyn Lager,/beer/profile/45/148/,3.72,"3,715",Brooklyn Brewery,5.2,No IBU,No Notes
Pure Hoppiness,/beer/profile/3120/7597/,4.33,"3,712",Alpine Beer Company,8,,    So mega-hopped it will take you to hop heaven. We’ve used hops in the boil more hops in the giant hopback and added to that an incredible amount of dry-hopping for that cutting-edge “hop bite.” Once you’ve tasted this unique beer all others pale in comparison. 1.072 OG Classified
Samuel Adams Noble Pils,/beer/profile/35/54904/,3.76,"3,711",Boston Beer Company (Samuel Adams),4.9,No IBU,No Notes
Samuel Adams Old Fezziwig Ale,/beer/profile/35/1881/,3.77,"3,697",Boston Beer Company (Samuel Adams),5.9,No IBU,No Notes
Northern Hemisphere Harvest Wet Hop IPA,/beer/profile/140/6549/,4.16,"3,688",Sierra Nevada Brewing Co.,6.7,No IBU,No Notes
Sierra Nevada Porter,/beer/profile/140/279/,3.89,"3,678",Sierra Nevada Brewing Co.,5.6,No IBU,No Notes
Leinenkugel's Summer Shandy,/beer/profile/710/36010/,3.17,"3,653",Jacob Leinenkugel Brewing Company,4.2,No IBU,No Notes
Spotted Cow,/beer/profile/590/1963/,3.75,"3,637",New Glarus Brewing Company,4.8,No IBU,No Notes
Wisconsin Belgian Red,/beer/profile/590/1577/,4.38,"3,637",New Glarus Brewing Company,4,No IBU,No Notes
Rübæus,/beer/profile/1199/23474/,3.88,"3,616",Founders Brewing Company,5.7,No IBU,No Notes
Perpetual IPA,/beer/profile/694/71969/,4.07,"3,612",Tröegs Brewing Company,7.5,No IBU,No Notes
Loose Cannon Hop3 IPA,/beer/profile/898/25755/,4,"3,588",Heavy Seas Beer,7.25,No IBU,No Notes
Arctic Panzer Wolf,/beer/profile/26/52531/,4.26,"3,578",3 Floyds Brewing Co.,9,100,    A massive IPA that will leave your palate its hapless victim. Scorched earth is our brewery policy.  
Blackout Stout,/beer/profile/73/15813/,4.2,"3,567",Great Lakes Brewing Co.,9,No IBU,No Notes
Sweetwater IPA,/beer/profile/273/1493/,3.96,"3,567",SweetWater Brewing Company,6.3,No IBU,No Notes
Weihenstephaner Vitus,/beer/profile/252/35625/,4.28,"3,551",Bayerische Staatsbrauerei Weihenstephan,7.7,No IBU,No Notes
A Little Sumpin' Wild,/beer/profile/220/57912/,4.1,"3,545",Lagunitas Brewing Company,8.8,51,    Fermented with the Westmalle yeast strain  72.
Focal Banger,/beer/profile/46317/111616/,4.59,"3,543",The Alchemist Brewery and Visitors Center,7,No IBU,No Notes
Go To IPA,/beer/profile/147/111969/,3.95,"3,540",Stone Brewing,4.8,No IBU,No Notes
Paulaner Hefe-Weissbier Naturtrüb,/beer/profile/124/1256/,4.05,"3,504",Paulaner Brauerei GmbH & Co. KG,5.5,No IBU,No Notes
Shakespeare Oatmeal Stout,/beer/profile/132/56973/,4.14,"3,488",Rogue Ales,5.8,69,    9 Ingredients: Malts: Northwest Harrington & Klages Crystal 135-165 & Beeston Chocolate Rolled Oats & Roasted Barley. Hops: Cascade. Yeast & Water: Rogue's Pacman Yeast & Free Range Coastal Water.   15º PLATO 
Anchor Liberty Ale,/beer/profile/28/665/,3.88,"3,480",Anchor Brewing Company,5.9,No IBU,No Notes
75 Minute IPA,/beer/profile/64/15758/,4.12,"3,478",Dogfish Head Craft Brewery,7.5,No IBU,No Notes
Terrapin Hopsecutioner,/beer/profile/2372/53886/,3.82,"3,464",Terrapin Beer Company,7.3,No IBU,No Notes
Cali-Belgique IPA,/beer/profile/147/43905/,3.96,"3,456",Stone Brewing,6.9,No IBU,No Notes
Deviant Dale's IPA,/beer/profile/2681/65347/,4.02,"3,437",Oskar Blues Grill & Brew,8,No IBU,No Notes
Hop Head Red Ale,/beer/profile/2743/35732/,3.97,"3,421",Green Flash Brewing Co.,8.1,,    In 2011 the recipe was altered to bump the
Sierra Nevada Stout,/beer/profile/140/283/,4.07,"3,419",Sierra Nevada Brewing Co.,5.8,No IBU,No Notes
